passenger_id,passenger_name,signup_date,total_rides,total_spent,rating
201,Nitya Varma,2022-10-16,12.00,200.11,3.54
202,Purab Jani,2023-01-11,60.00,368.52,3.94
203,Samar Raman,2022-09-12,91.00,1647.27,4.29
204,Tanya Dutt,2023-03-09,35.00,131.80,4.58
205,Badal Mangal,2023-04-04,49.00,933.96,4.47
206,Krish Upadhyay,2023-02-02,60.00,1314.80,3.41
207,Riaan Kaul,2022-10-09,53.00,254.75,3.28
208,Dhanush Sodhi,2022-08-10,75.00,1312.28,4.39
209,Sana Gill,2023-06-11,76.00,592.57,4.07
210,Aayush Singh,2023-06-20,64.00,1625.33,4.42
211,Hazel Jhaveri,2023-05-15,71.00,856.42,3.93
212,Tanya Chad,2023-04-07,38.00,688.68,4.14
213,Pranay Shanker,2023-02-13,14.00,1224.48,4.60
214,Neelofar Bhandari,2022-11-01,58.00,340.76,4.54
215,Hazel Jaggi,2023-01-03,85.00,837.11,3.35
216,Zain Thakur,2022-09-25,77.00,230.33,3.98
217,Uthkarsh Gara,2022-09-07,76.00,1120.46,4.43
218,Mahika Deep,2022-09-13,15.00,1035.58,4.04
219,Dhanuk Tara,2023-02-19,74.00,1606.80,4.27
220,Aarush Manne,2023-05-03,42.00,140.89,4.13
221,Kiaan Karan,2023-01-08,40.00,1978.25,3.22
222,Kiara Rao,2023-06-16,91.00,627.24,3.11
223,Kavya Sama,2023-02-11,48.00,151.50,3.93
224,Ehsaan Sastry,2023-03-12,98.00,453.00,3.30
225,Rhea Khosla,2023-05-07,46.00,1040.97,3.57
226,Mehul Butala,2023-01-30,73.00,855.40,3.61
227,Shlok Shere,2022-12-01,26.00,761.53,4.50
228,Hrishita Gara,2022-10-14,14.00,1410.46,4.37
229,Lavanya Ganesh,2023-03-17,87.00,584.41,3.45
230,Vidur Goda,2022-09-26,37.00,849.50,3.45
231,Ira Ben,2023-02-10,23.00,171.23,4.79
232,Indrans De,2023-06-29,44.00,1283.68,3.90
233,Indrans Gandhi,2023-03-08,85.00,624.37,4.16
234,Anya Thaman,2023-01-20,99.00,558.22,4.28
235,Ojas Chandran,2022-12-12,39.00,160.28,3.37
236,Shamik Bala,2022-08-30,40.00,1444.81,4.51
237,Saira Jayaraman,2023-02-19,78.00,350.41,4.19
238,Lakshit Batra,2022-12-04,62.00,1998.98,4.15
239,Shlok Brahmbhatt,2022-11-12,51.00,966.90,4.60
240,Darshit Shere,2023-01-28,67.00,997.01,4.75
241,Saanvi Bandi,2023-02-21,85.00,1676.78,4.47
242,Nirvaan Buch,2023-05-17,76.00,1864.08,4.95
243,Mannat Kulkarni,2023-01-09,46.00,418.09,3.63
244,Indranil Hari,2022-12-22,88.00,726.21,3.92
245,Himmat Banik,2023-02-16,13.00,537.54,4.98
246,Uthkarsh Shan,2023-02-23,26.00,1304.86,3.07
247,Kimaya Jha,2023-02-27,47.00,208.07,4.18
248,Dhruv Joshi,2022-09-28,43.00,1092.26,4.90
249,Tejas Mangal,2023-04-07,51.00,756.02,4.14
250,Eva Dhar,2023-01-11,74.00,1356.22,3.82
251,Aarav Dube,2023-03-22,71.00,495.40,3.47
252,Nitara Viswanathan,2022-10-22,45.00,425.07,3.24
253,Diya Ravel,2022-09-20,65.00,119.06,3.28
254,Hiran Shah,2023-07-11,38.00,412.09,4.18
255,Lavanya Kohli,2022-12-27,78.00,1595.73,3.57
256,Manikya Gour,2023-01-25,22.00,462.08,3.87
257,Raghav Wadhwa,2023-01-13,12.00,1248.51,3.39
258,Faiyaz Soman,2023-07-07,87.00,856.44,4.26
259,Myra Rajagopal,2023-04-18,94.00,526.36,4.58
260,Kiara Yohannan,2022-10-29,29.00,373.69,4.56
261,Parinaaz Chad,2022-10-04,23.00,267.29,3.89
262,Arhaan Dua,2023-05-05,69.00,785.32,3.18
263,Vihaan Swaminathan,2022-09-20,54.00,264.31,3.65
264,Oorja Kalita,2023-02-26,64.00,268.76,4.41
265,Baiju Boase,2023-05-26,57.00,423.83,3.49
266,Eshani Soman,2023-01-26,63.00,929.83,4.06
267,Jhanvi Sandhu,2023-04-07,92.00,151.34,3.67
268,Nishith Iyer,2023-03-24,24.00,406.07,3.54
269,Badal Manda,2023-07-11,24.00,1748.42,3.19
270,Vaibhav Dave,2022-10-06,25.00,1256.28,3.15
271,Shray Sunder,2023-05-02,83.00,755.85,3.15
272,Eva Vig,2022-12-30,98.00,1657.98,4.34
273,Shamik Subramanian,2023-03-26,11.00,405.24,4.86
274,Dhanush Gokhale,2023-01-03,80.00,1534.44,4.37
275,Rati Krishna,2022-11-06,97.00,918.67,3.79
276,Nayantara Borra,2022-10-25,75.00,593.97,3.93
277,Neelofar Datta,2022-12-13,92.00,550.34,3.25
278,Ira Dasgupta,2023-02-05,32.00,1737.33,3.83
279,Ahana  Batta,2023-03-27,74.00,1151.43,3.10
280,Emir Sankaran,2023-05-28,100.00,1936.61,4.14
281,Aayush Hayer,2023-01-20,47.00,837.23,4.75
282,Baiju Bhargava,2023-06-16,92.00,1514.25,3.54
283,Heer Ratti,2022-08-25,29.00,1881.61,4.37
284,Siya Gara,2023-06-01,49.00,973.01,4.02
285,Kismat Sachdev,2022-11-07,18.00,1855.33,4.91
286,Neelofar Brahmbhatt,2023-01-08,34.00,1064.91,3.36
287,Ojas Kothari,2022-08-29,11.00,1049.99,3.35
288,Tiya Bhalla,2023-04-13,20.00,650.75,4.45
289,Neysa Gole,2022-08-31,69.00,1033.27,3.11
290,Stuvan Char,2022-10-26,66.00,832.13,4.71
291,Shray Dixit,2022-10-17,67.00,446.11,4.27
292,Ivan Buch,2023-05-06,23.00,1963.22,4.91
293,Vritika Rao,2023-06-17,90.00,914.84,4.06
294,Vedika Shroff,2022-09-02,58.00,1534.93,3.90
295,Nitara Kalla,2023-03-10,35.00,1916.86,3.83
296,Riaan Vala,2022-09-12,66.00,785.13,3.66
297,Rhea Chaudhari,2023-05-13,25.00,807.09,3.28
298,Nayantara Issac,2023-06-15,87.00,363.54,3.71
